timestamp,ping_time,ping_sequence,dropped_packets,rtt_ms,system_id,component_id
4447272,4381900,1,3735928559,65.372,255,0
5383795,5381808,2,3735928559,1.987,255,0
6385717,6382733,3,3735928559,2.984,255,0
7387045,7382178,4,3735928559,4.867,255,0
8389607,8383917,5,3735928559,5.69,255,0
9391020,9382682,6,3735928559,8.338,255,0
10392990,10381456,7,3735928559,11.534,255,0
11383034,11382602,8,3735928559,0.432,255,0
12382586,12382190,9,3735928559,0.396,255,0
13381911,13381493,10,3735928559,0.418,255,0
14382968,14382527,11,3735928559,0.441,255,0
15385322,15384801,12,3735928559,0.521,255,0
16387124,16382742,13,3735928559,4.382,255,0
17390522,17384965,14,3735928559,5.557,255,0
18381287,18380786,15,3735928559,0.501,255,0
19381746,19381432,16,3735928559,0.314,255,0
20394611,20386385,17,3735928559,8.226,255,0
21383171,21382525,18,3735928559,0.646,255,0
22382220,22381753,19,3735928559,0.467,255,0
23382543,23382291,20,3735928559,0.252,255,0
24384924,24384637,21,3735928559,0.287,255,0
25388602,25381135,22,3735928559,7.467,255,0
26383397,26382985,23,3735928559,0.412,255,0
27385470,27384775,24,3735928559,0.695,255,0
28393855,28382351,25,3735928559,11.504,255,0
29395423,29384955,26,3735928559,10.468,255,0
30382631,30382275,27,3735928559,0.356,255,0
31383897,31382263,28,3735928559,1.634,255,0
32386573,32386138,29,3735928559,0.435,255,0
33384826,33384299,30,3735928559,0.527,255,0
34383041,34382470,31,3735928559,0.571,255,0
35383985,35383535,32,3735928559,0.45,255,0
36381368,36380888,33,3735928559,0.48,255,0
37385482,37384864,34,3735928559,0.618,255,0
38381661,38381104,35,3735928559,0.557,255,0
39395534,39384770,36,3735928559,10.764,255,0
40383379,40383026,37,3735928559,0.353,255,0
41382725,41381955,38,3735928559,0.77,255,0
42381468,42381069,39,3735928559,0.399,255,0
43384314,43383798,40,3735928559,0.516,255,0
44387029,44386377,41,3735928559,0.652,255,0
45381430,45380898,42,3735928559,0.532,255,0
46383854,46383255,43,3735928559,0.599,255,0
47382578,47382166,44,3735928559,0.412,255,0
48384064,48383726,45,3735928559,0.338,255,0
49382407,49381937,46,3735928559,0.47,255,0
50383304,50382929,47,3735928559,0.375,255,0
51385401,51384742,48,3735928559,0.659,255,0
52384050,52383730,49,3735928559,0.32,255,0
53383363,53382954,50,3735928559,0.409,255,0
54384156,54382681,51,3735928559,1.475,255,0
55384806,55382674,52,3735928559,2.132,255,0
56382639,56381909,53,3735928559,0.73,255,0
57383378,57382701,54,3735928559,0.677,255,0
58387097,58385592,55,3735928559,1.505,255,0
59382203,59381796,56,3735928559,0.407,255,0
60383323,60382730,57,3735928559,0.593,255,0
61385037,61384682,58,3735928559,0.355,255,0
62381830,62381293,59,3735928559,0.537,255,0
63383335,63382669,60,3735928559,0.666,255,0
64382293,64381780,61,3735928559,0.513,255,0
65384860,65384310,62,3735928559,0.55,255,0
66383975,66383710,63,3735928559,0.265,255,0
67382549,67382188,64,3735928559,0.361,255,0
68384075,68383724,65,3735928559,0.351,255,0
69383819,69383297,66,3735928559,0.522,255,0
70384161,70383836,67,3735928559,0.325,255,0
71381480,71380981,68,3735928559,0.499,255,0
72383758,72383075,69,3735928559,0.683,255,0
73386577,73384778,70,3735928559,1.799,255,0
74381881,74381387,71,3735928559,0.494,255,0
75383538,75383157,72,3735928559,0.381,255,0
76383049,76382590,73,3735928559,0.459,255,0
77383731,77383272,74,3735928559,0.459,255,0
78384652,78383525,75,3735928559,1.127,255,0
79385849,79385367,76,3735928559,0.482,255,0
80384171,80383821,77,3735928559,0.35,255,0
81383106,81382651,78,3735928559,0.455,255,0
82382973,82382632,79,3735928559,0.341,255,0
83381794,83381435,80,3735928559,0.359,255,0
84381133,84380849,81,3735928559,0.284,255,0
85383177,85382667,82,3735928559,0.51,255,0
86385343,86384644,83,3735928559,0.699,255,0
87384647,87381870,84,3735928559,2.777,255,0
88383941,88383243,85,3735928559,0.698,255,0
89382589,89382157,86,3735928559,0.432,255,0
90384245,90383544,87,3735928559,0.701,255,0
91383208,91382601,88,3735928559,0.607,255,0
92383907,92383310,89,3735928559,0.597,255,0
93381459,93381038,90,3735928559,0.421,255,0
94383515,94383137,91,3735928559,0.378,255,0
95385912,95385486,92,3735928559,0.426,255,0
96383965,96381632,93,3735928559,2.333,255,0
97384250,97383729,94,3735928559,0.521,255,0
98382265,98381882,95,3735928559,0.383,255,0
99382596,99382260,96,3735928559,0.336,255,0
100384794,100384205,97,3735928559,0.589,255,0
101383062,101382399,98,3735928559,0.663,255,0
102382992,102382613,99,3735928559,0.379,255,0
103385397,103384765,100,3735928559,0.632,255,0
104381584,104381078,101,3735928559,0.506,255,0
105382209,105381689,102,3735928559,0.52,255,0
106384859,106384545,103,3735928559,0.314,255,0
107384996,107384663,104,3735928559,0.333,255,0
108382155,108381656,105,3735928559,0.499,255,0
109383497,109382745,106,3735928559,0.752,255,0
110383317,110382957,107,3735928559,0.36,255,0
111382939,111381918,108,3735928559,1.021,255,0
112382112,112381580,109,3735928559,0.532,255,0
113384294,113383330,110,3735928559,0.964,255,0
114382160,114381381,111,3735928559,0.779,255,0
115381400,115380934,112,3735928559,0.466,255,0
116381484,116380916,113,3735928559,0.568,255,0
117383433,117381687,114,3735928559,1.746,255,0
118381460,118380840,115,3735928559,0.62,255,0
119382288,119381702,116,3735928559,0.586,255,0
120382538,120382133,117,3735928559,0.405,255,0
121385436,121384712,118,3735928559,0.724,255,0
122383411,122383111,119,3735928559,0.3,255,0
123385361,123384824,120,3735928559,0.537,255,0
124381412,124380819,121,3735928559,0.593,255,0
125383090,125381935,122,3735928559,1.155,255,0
126383250,126382690,123,3735928559,0.56,255,0
127384204,127383464,124,3735928559,0.74,255,0
128382942,128382459,125,3735928559,0.483,255,0
129381423,129381012,126,3735928559,0.411,255,0
130381910,130381632,127,3735928559,0.278,255,0
131382558,131382224,128,3735928559,0.334,255,0
132382448,132381778,129,3735928559,0.67,255,0
133383884,133383394,130,3735928559,0.49,255,0
134385304,134384862,131,3735928559,0.442,255,0
135389903,135384739,132,3735928559,5.164,255,0
136393868,136381045,133,3735928559,12.823,255,0
137384298,137383902,134,3735928559,0.396,255,0
138382730,138382159,135,3735928559,0.571,255,0
139381312,139380890,136,3735928559,0.422,255,0
140384215,140383829,137,3735928559,0.386,255,0
141383117,141382178,138,3735928559,0.939,255,0
142386705,142380801,139,3735928559,5.904,255,0
143387848,143383744,140,3735928559,4.104,255,0
144390442,144386308,141,3735928559,4.134,255,0
145385052,145382590,142,3735928559,2.462,255,0
146394378,146383888,143,3735928559,10.49,255,0
147382202,147381795,144,3735928559,0.407,255,0
148382938,148382526,145,3735928559,0.412,255,0
149383475,149381846,146,3735928559,1.629,255,0
150383765,150382375,147,3735928559,1.39,255,0
151385727,151383104,148,3735928559,2.623,255,0
152387272,152383368,149,3735928559,3.904,255,0
153390264,153383197,150,3735928559,7.067,255,0
154393099,154380846,151,3735928559,12.253,255,0
155383794,155383306,152,3735928559,0.488,255,0
156383694,156383207,153,3735928559,0.487,255,0
157385446,157384829,154,3735928559,0.617,255,0
158398729,158384144,155,3735928559,14.585,255,0
159385804,159381526,156,3735928559,4.278,255,0
160385115,160384060,157,3735928559,1.055,255,0
161387884,161383245,158,3735928559,4.639,255,0
162382211,162381706,159,3735928559,0.505,255,0
163384165,163383822,160,3735928559,0.343,255,0
164382130,164381705,161,3735928559,0.425,255,0
165383009,165382671,162,3735928559,0.338,255,0
166384335,166383871,163,3735928559,0.464,255,0
167383881,167383325,164,3735928559,0.556,255,0
168383792,168382300,165,3735928559,1.492,255,0
169386311,169383807,166,3735928559,2.504,255,0
170389490,170381373,167,3735928559,8.117,255,0
171384815,171384326,168,3735928559,0.489,255,0
172384062,172381674,169,3735928559,2.388,255,0
173382988,173382675,170,3735928559,0.313,255,0
174382441,174381793,171,3735928559,0.648,255,0
175381400,175380959,172,3735928559,0.441,255,0
176382655,176382332,173,3735928559,0.323,255,0
177384737,177381893,174,3735928559,2.844,255,0
178385594,178383529,175,3735928559,2.065,255,0
179403795,179382395,176,3735928559,21.4,255,0
180389420,180383527,177,3735928559,5.893,255,0
181391741,181382442,178,3735928559,9.299,255,0
182392738,182383420,179,3735928559,9.318,255,0
183381715,183381373,180,3735928559,0.342,255,0
184385801,184384948,181,3735928559,0.853,255,0
185382240,185381517,182,3735928559,0.723,255,0
186381721,186381064,183,3735928559,0.657,255,0
187383841,187383299,184,3735928559,0.542,255,0
188382708,188382302,185,3735928559,0.406,255,0
189385694,189385335,186,3735928559,0.359,255,0
190382635,190382266,187,3735928559,0.369,255,0
191381415,191381015,188,3735928559,0.4,255,0
192384593,192384057,189,3735928559,0.536,255,0
193385623,193381510,190,3735928559,4.113,255,0
194383865,194383348,191,3735928559,0.517,255,0
195383280,195382915,192,3735928559,0.365,255,0
196383181,196382391,193,3735928559,0.79,255,0
197381867,197381487,194,3735928559,0.38,255,0
198383962,198383428,195,3735928559,0.534,255,0
199383842,199383244,196,3735928559,0.598,255,0
200385499,200384979,197,3735928559,0.52,255,0
201383743,201383240,198,3735928559,0.503,255,0
202384815,202382544,199,3735928559,2.271,255,0
203383521,203382952,200,3735928559,0.569,255,0
204383003,204382507,201,3735928559,0.496,255,0
205381869,205381339,202,3735928559,0.53,255,0
206383693,206383170,203,3735928559,0.523,255,0
207382955,207381599,204,3735928559,1.356,255,0
208386241,208385632,205,3735928559,0.609,255,0
209393591,209383579,206,3735928559,10.012,255,0
210382479,210381882,207,3735928559,0.597,255,0
211382274,211381784,208,3735928559,0.49,255,0
212384743,212384216,209,3735928559,0.527,255,0
213383746,213383189,210,3735928559,0.557,255,0
214381431,214381001,211,3735928559,0.43,255,0
215386234,215385690,212,3735928559,0.544,255,0
216384131,216382616,213,3735928559,1.515,255,0
217386136,217383544,214,3735928559,2.592,255,0
218383543,218383046,215,3735928559,0.497,255,0
219383059,219382667,216,3735928559,0.392,255,0
220383258,220382940,217,3735928559,0.318,255,0
221386666,221386221,218,3735928559,0.445,255,0
222381948,222381555,219,3735928559,0.393,255,0
223381468,223380994,220,3735928559,0.474,255,0
224382490,224382207,221,3735928559,0.283,255,0
225385515,225384874,222,3735928559,0.641,255,0
226384620,226384188,223,3735928559,0.432,255,0
227382749,227382321,224,3735928559,0.428,255,0
228385141,228384728,225,3735928559,0.413,255,0
229383369,229382958,226,3735928559,0.411,255,0
230384667,230384222,227,3735928559,0.445,255,0
231381869,231381524,228,3735928559,0.345,255,0
232383225,232382722,229,3735928559,0.503,255,0
233384633,233384193,230,3735928559,0.44,255,0
234385052,234383464,231,3735928559,1.588,255,0
235383377,235383022,232,3735928559,0.355,255,0
236383812,236383305,233,3735928559,0.507,255,0
237383326,237382914,234,3735928559,0.412,255,0
238383167,238382577,235,3735928559,0.59,255,0
239385352,239384828,236,3735928559,0.524,255,0
240383023,240382579,237,3735928559,0.444,255,0
241381381,241380942,238,3735928559,0.439,255,0
242384315,242383877,239,3735928559,0.438,255,0
243384135,243381949,240,3735928559,2.186,255,0
244382354,244381809,241,3735928559,0.545,255,0
245381785,245381456,242,3735928559,0.329,255,0
246385938,246385346,243,3735928559,0.592,255,0
247381435,247381037,244,3735928559,0.398,255,0
248381400,248380864,245,3735928559,0.536,255,0
249381631,249381127,246,3735928559,0.504,255,0
250382227,250381734,247,3735928559,0.493,255,0
251383423,251382724,248,3735928559,0.699,255,0
252381916,252381418,249,3735928559,0.498,255,0
253385514,253384925,250,3735928559,0.589,255,0
254382983,254382386,251,3735928559,0.597,255,0
255381462,255381000,252,3735928559,0.462,255,0
256386503,256385871,253,3735928559,0.632,255,0
257383300,257382916,254,3735928559,0.384,255,0
258381192,258380846,255,3735928559,0.346,255,0
259383826,259383378,256,3735928559,0.448,255,0
260382178,260381735,257,3735928559,0.443,255,0
261383551,261383138,258,3735928559,0.413,255,0
262385005,262384583,259,3735928559,0.422,255,0
263381390,263380882,260,3735928559,0.508,255,0
264383327,264382688,261,3735928559,0.639,255,0
265383220,265382712,262,3735928559,0.508,255,0
266383759,266381654,263,3735928559,2.105,255,0
267383068,267382688,264,3735928559,0.38,255,0
268382968,268382417,265,3735928559,0.551,255,0
269383479,269383212,266,3735928559,0.267,255,0
270383952,270383181,267,3735928559,0.771,255,0
271383966,271381656,268,3735928559,2.31,255,0
272385179,272384708,269,3735928559,0.471,255,0
273381862,273381578,270,3735928559,0.284,255,0
274384712,274383953,271,3735928559,0.759,255,0
275383873,275383382,272,3735928559,0.491,255,0
276382160,276381744,273,3735928559,0.416,255,0
277382237,277381769,274,3735928559,0.468,255,0
278383410,278382966,275,3735928559,0.444,255,0
279383780,279383160,276,3735928559,0.62,255,0
280383304,280382737,277,3735928559,0.567,255,0
281382974,281382357,278,3735928559,0.617,255,0
282385405,282384307,279,3735928559,1.098,255,0
283383952,283383466,280,3735928559,0.486,255,0
284382275,284381867,281,3735928559,0.408,255,0
285383009,285382392,282,3735928559,0.617,255,0
286385030,286381005,283,3735928559,4.025,255,0
287386329,287382544,284,3735928559,3.785,255,0
288388774,288383544,285,3735928559,5.23,255,0
289389823,289384983,286,3735928559,4.84,255,0
290384304,290383886,287,3735928559,0.418,255,0
291383079,291382673,288,3735928559,0.406,255,0
292381626,292380836,289,3735928559,0.79,255,0
293381412,293381066,290,3735928559,0.346,255,0
294383759,294383173,291,3735928559,0.586,255,0
295382204,295381698,292,3735928559,0.506,255,0
296384263,296383782,293,3735928559,0.481,255,0
297381411,297381008,294,3735928559,0.403,255,0
298382342,298381710,295,3735928559,0.632,255,0
299383569,299382939,296,3735928559,0.63,255,0
300381792,300381380,297,3735928559,0.412,255,0
301385151,301384775,298,3735928559,0.376,255,0
302382396,302381899,299,3735928559,0.497,255,0
303382636,303381952,300,3735928559,0.684,255,0
304384112,304383723,301,3735928559,0.389,255,0
305381629,305381144,302,3735928559,0.485,255,0
306383744,306383223,303,3735928559,0.521,255,0
307383390,307382963,304,3735928559,0.427,255,0
308382269,308381791,305,3735928559,0.478,255,0
309382991,309382560,306,3735928559,0.431,255,0
310382996,310382684,307,3735928559,0.312,255,0
311381739,311381109,308,3735928559,0.63,255,0
312381392,312380948,309,3735928559,0.444,255,0
313383393,313382710,310,3735928559,0.683,255,0
314383073,314382612,311,3735928559,0.461,255,0
315382702,315382414,312,3735928559,0.288,255,0
316382227,316381626,313,3735928559,0.601,255,0
317383884,317382715,314,3735928559,1.169,255,0
318381901,318381580,315,3735928559,0.321,255,0
319382549,319382195,316,3735928559,0.354,255,0
320382607,320382247,317,3735928559,0.36,255,0
321384827,321384275,318,3735928559,0.552,255,0
322383242,322382635,319,3735928559,0.607,255,0
323383111,323382687,320,3735928559,0.424,255,0
324384270,324383695,321,3735928559,0.575,255,0
325383403,325382970,322,3735928559,0.433,255,0
326381319,326380834,323,3735928559,0.485,255,0
327384740,327384079,324,3735928559,0.661,255,0
328382321,328381751,325,3735928559,0.57,255,0
329381418,329380867,326,3735928559,0.551,255,0
330383221,330382742,327,3735928559,0.479,255,0
331382643,331381827,328,3735928559,0.816,255,0
332385400,332384868,329,3735928559,0.532,255,0
333382190,333381836,330,3735928559,0.354,255,0
334381888,334381494,331,3735928559,0.394,255,0
335384237,335383545,332,3735928559,0.692,255,0
336383800,336383239,333,3735928559,0.561,255,0
337381668,337381334,334,3735928559,0.334,255,0
338383808,338383120,335,3735928559,0.688,255,0
339383808,339383393,336,3735928559,0.415,255,0
340384999,340384355,337,3735928559,0.644,255,0
341382182,341381627,338,3735928559,0.555,255,0
342381445,342380895,339,3735928559,0.55,255,0
343385072,343384627,340,3735928559,0.445,255,0
344382231,344381812,341,3735928559,0.419,255,0
345383348,345382709,342,3735928559,0.639,255,0
346385571,346385308,343,3735928559,0.263,255,0
347381374,347380862,344,3735928559,0.512,255,0
348382983,348382562,345,3735928559,0.421,255,0
349383855,349383335,346,3735928559,0.52,255,0
350384261,350383788,347,3735928559,0.473,255,0
351382135,351381665,348,3735928559,0.47,255,0
352383410,352382983,349,3735928559,0.427,255,0
353381528,353381120,350,3735928559,0.408,255,0
354382964,354382388,351,3735928559,0.576,255,0
355387062,355381855,352,3735928559,5.207,255,0
356382334,356381627,353,3735928559,0.707,255,0
357385067,357384652,354,3735928559,0.415,255,0
358384285,358383719,355,3735928559,0.566,255,0
359382483,359381920,356,3735928559,0.563,255,0
360383783,360383402,357,3735928559,0.381,255,0
361385667,361385104,358,3735928559,0.563,255,0
362381483,362380849,359,3735928559,0.634,255,0
363387536,363386947,360,3735928559,0.589,255,0
364381445,364380880,361,3735928559,0.565,255,0
